3hocACP	C04620
nadp	C00006
3oxocACP	C05750
nadph	C00005
h	C00080
3hocACP	C04620
2toceACP	C05751
h2o	C00001
3hocACP	C04620
2toceACP	C05751
h2o	C00001
udpgal	C00052
C00611	C00611
udp	C00015
C04847	C04847
C05167	C05167
C00161	C00161
nh4	C00014
C00128	C00128
C00611	C00611
cmp	C00055
C04886	C04886
3hbACP	C04618
nadp	C00006
actACP	C05744
nadph	C00005
h	C00080
C18323	C18323
h2o	C00001
C01011	C01011
C04621	C04621
C04622	C04622
frdp	C00448
h2o	C00001
C09704	C09704
ppi	C00013
C05859	C05859
C00621	C00621
C03658	C03658
C00071	C00071
C00116	C00116
frdp	C00448
C09684	C09684
ppi	C00013
frdp	C00448
C19749	C19749
ppi	C00013
C06394	C06394
C07667	C07667
C20465	C20465
nadph	C00005
h	C00080
C20464	C20464
ac	C00033
nadp	C00006
atp	C00002
C04899	C04899
adp	C00008
pi	C00009
nadph	C00005
C16461	C16461
coa	C00010
C16465	C16465
h2o	C00001
C20531	C20531
nadph	C00005
h	C00080
o2	C00007
C13782	C13782
nadp	C00006
